product_url,item_type,image_link,auction_date,location,product_name,lot_id,auctioner,description,website
https://touch.bismanonline.com/minot_nd/20_x_48_4_bar_steel_fence_panels_4_bar_1_66,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/443/4439/443949/11/m_11088fa139354f1c50bcb9f3402a4e92.jpg,'September 16th 2022',"Minot, ND","24 panels of Continious Fence 20' x 48"" 4 Bar Steel Fence Panels",4057958,Specialty Outdoor Equipment,"Listed for sale are twenty four panels total of 48"" tall x 20' long 4 bar steel fence panels. These are new unused panels that will come with all associated hardware. We are not interested in splitting them up at this time.",bismanonline
https://touch.bismanonline.com/denhoff_nd/heavy_wall_7_steel_pipe_over_80_total_asking_400,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/135/1354/135483/19/m_196acbdbae520707d341610fd0e41a45.jpg,e('October 12th 2022',"Denhoff, ND",Heavy wall 7 steel pipe. Over 80 feet. Asking 400$ for all. Text 701-426-49zero,4230069,Copper Lake LLC,Heavy wall 7 steel pipe. Over 80 feet total. Asking 400$ for all. Text 701-426-49zero7,bismanonline
https://touch.bismanonline.com/hettinger_nd/used_wind_break_steel_1,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/257/2574/257410/f3/m_f3877dbacb386be362f58ea2026ee883.jpg,e('October 12th 2022',"Hettinger, ND",Used wind break steel,4230068,chris,"
",bismanonline
https://touch.bismanonline.com/bismarck_nd/steel_toe_boots_size_11_barely_worn_20,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/13/132/13258/b8/m_b889ccd53699456dbc481e72c3f3aa00.jpg,e('October 12th 2022',"Bismarck, ND",Steel toe boots size 11 barely worn $20,3616982,yalarry,Steel toe boots size 11 barely worn $20,bismanonline
https://touch.bismanonline.com/bismarck_nd/old_steel_oil_barrels_two_are_standard_oil_and_tw,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/4/42/4253/cb/m_cb604ff3080197c2532a25a0162d09b4.jpg,e('October 12th 2022',"Bismarck, ND",Old steel oil barrels. Two are Standard Oil and two are Marshall Oil. $100.00 each,4229890,Harley lovers,"Old steel oil barrels. Two are Standard Oil and two are Marshall Oil. $100.00 each. Call 701-527-0511, no email please.",bismanonline
https://touch.bismanonline.com/bismarck_nd/steel_hair_pin_table_legs,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/576/5769/576974/e0/m_e0589a404e2de1dc3786be348fb37724.jpg,e('October 12th 2022',"Bismarck, ND",Steel Hair Pin Table Legs,4198541,tango11echo,Hair Pin Table Legs,bismanonline
https://touch.bismanonline.com/elgin_nd/fencing_pipe_posts_pound_through_rock_bed_add_wel,pipe,https://d2viduam6g2fks.cloudfront.net/UserFiles/89/890/89052/6c/m_6ce02a42cf0c1782fb0ec5365d294930.jpg,te('October 7th 2022',"Elgin, ND","Fencing Pipe Posts pound through rock bed. Add weld-less, drop-in caps.",4224933,Ulrich Manufacturing,"Fencing Pipe Posts pound through rock bed. Add weld-less, drop-in caps to prevent rust at the base. 2-7/8 or 2-3/8 inch pipe cut into 5, 6, 8, 10, 12, or 15 foot lengths. ",bismanonline
https://touch.bismanonline.com/harvey_nd/steel_rims_2010_chevy_2500_or_3500_150,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/429/4297/429727/2b/m_2b802a8b62cf11a3ba9e907dfacc4fad.jpg,'September 25th 2022',"Harvey, ND",Steel rims 2010 or newer Chevy 2500 or 3500. $150,4213273,Shane,Steel rims 2010 Chevy 2500 or 3500. $150,bismanonline
https://touch.bismanonline.com/spiritwood_lake_nd/anyone_need_some_vinyl_an_steel_siding_an_trim_lot,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/114/1148/114895/5c/m_5cb71fc4c7dfd9aed12f093357ff59d6.jpg,'September 25th 2022',"Spiritwood Lake, ND",Anyone need some vinyl an steel siding an trim lots of colors if I dont sell it so,4213305,gil,Anyone need some vinyl an steel siding an trim lots of colors if I dont sell it soon its going to the pit,bismanonline
https://touch.bismanonline.com/west_fargo_nd/federal_12ga_3in_steel_t_and_f_shot,steel,https://d2viduam6g2fks.cloudfront.net/UserFiles/513/5138/513813/94/m_941c7bd7a7e18cbb2e32bb4544815c50.jpg,te('October 6th 2022',"West Fargo, ND",Federal 12ga 3in steel T and F shot,4192052,91crx,Federal 12ga 3in steel T and F shot,bismanonline
